timestamp,par,preco
2025-04-10 02:29:34,DOGE/USDT,0.15695
2025-04-10 02:29:34,TRX/USDT,0.24141
2025-04-10 02:29:40,XRP/USDT,2.008
2025-04-10 02:29:41,DOGE/USDT,0.15696
2025-04-10 02:29:41,TRX/USDT,0.24141
2025-04-10 02:29:47,XRP/USDT,2.0079
2025-04-10 02:29:47,DOGE/USDT,0.15693
2025-04-10 02:29:47,TRX/USDT,0.24141
2025-04-10 02:29:53,XRP/USDT,2.0079
2025-04-10 02:29:53,DOGE/USDT,0.15693
2025-04-10 02:29:54,TRX/USDT,0.24253
2025-04-10 02:29:59,XRP/USDT,2.0079
2025-04-10 02:29:59,DOGE/USDT,0.15692
2025-04-10 02:30:00,TRX/USDT,0.24253
2025-04-10 02:30:06,XRP/USDT,2.0076
2025-04-10 02:30:06,DOGE/USDT,0.15692
2025-04-10 02:30:07,TRX/USDT,0.24253
2025-04-10 02:30:12,XRP/USDT,2.0076
2025-04-10 02:30:12,DOGE/USDT,0.15692
2025-04-10 02:30:13,TRX/USDT,0.24253
2025-04-10 02:30:18,XRP/USDT,2.0077
2025-04-10 02:30:19,DOGE/USDT,0.15693
2025-04-10 02:30:20,TRX/USDT,0.24143
2025-04-10 02:30:25,XRP/USDT,2.0074
2025-04-10 02:30:25,DOGE/USDT,0.15692
2025-04-10 02:30:26,TRX/USDT,0.24143
2025-04-10 02:30:31,XRP/USDT,2.0074
2025-04-10 02:30:32,DOGE/USDT,0.15695
2025-04-10 02:30:33,TRX/USDT,0.24144
2025-04-10 02:30:38,XRP/USDT,2.0071
2025-04-10 02:30:39,DOGE/USDT,0.15694
2025-04-10 02:30:39,TRX/USDT,0.24144
2025-04-10 02:30:45,XRP/USDT,2.0072
2025-04-10 02:30:45,DOGE/USDT,0.15694
2025-04-10 02:30:45,TRX/USDT,0.24144
2025-04-10 02:30:51,XRP/USDT,2.0071
2025-04-10 02:30:51,DOGE/USDT,0.15696
2025-04-10 02:30:51,TRX/USDT,0.24141
2025-04-10 02:30:57,XRP/USDT,2.0072
2025-04-10 02:30:57,DOGE/USDT,0.15696
2025-04-10 02:30:58,TRX/USDT,0.24141
2025-04-10 02:31:03,XRP/USDT,2.0075
2025-04-10 02:31:04,DOGE/USDT,0.15698
2025-04-10 02:31:04,TRX/USDT,0.24141
2025-04-10 02:31:09,XRP/USDT,2.0075
2025-04-10 02:31:10,DOGE/USDT,0.15713
2025-04-10 02:31:11,TRX/USDT,0.24144
2025-04-10 02:31:16,XRP/USDT,2.0076
2025-04-10 02:31:17,DOGE/USDT,0.15714
2025-04-10 02:31:17,TRX/USDT,0.24143
2025-04-10 02:31:23,XRP/USDT,2.0082
2025-04-10 02:31:24,DOGE/USDT,0.15713
2025-04-10 02:31:24,TRX/USDT,0.24173
2025-04-10 02:31:29,XRP/USDT,2.0086
2025-04-10 02:31:30,DOGE/USDT,0.15708
2025-04-10 02:31:30,TRX/USDT,0.24173
2025-04-10 02:31:36,XRP/USDT,2.0084
2025-04-10 02:31:36,DOGE/USDT,0.15708
2025-04-10 02:31:36,TRX/USDT,0.24173
2025-04-10 02:31:41,XRP/USDT,2.0079
2025-04-10 02:31:42,DOGE/USDT,0.15708
2025-04-10 02:31:42,TRX/USDT,0.24173
