timestamp,par,direcao,preco_entrada,score_tecnico,score_ia
2025-04-09 05:28:48,XRP/USDT,buy,,,
2025-04-09 05:28:49,DOGE/USDT,sell,,,
2025-04-09 05:28:50,TRX/USDT,sell,,,
2025-04-09 05:29:52,XRP/USDT,buy,,,
2025-04-09 05:29:53,DOGE/USDT,sell,,,
2025-04-09 05:29:53,TRX/USDT,sell,,,
2025-04-09 06:13:19,DOGE/USDT,sell,,,
2025-04-09 06:14:23,TRX/USDT,buy,,,
2025-04-09 06:15:25,TRX/USDT,buy,,,
2025-04-09 06:17:27,TRX/USDT,sell,,,
2025-04-09 06:18:29,TRX/USDT,sell,,,
2025-04-09 06:30:59,XRP/USDT,buy,,,
2025-04-09 06:31:00,DOGE/USDT,buy,,,
2025-04-09 06:31:00,TRX/USDT,sell,,,
2025-04-09 06:32:01,XRP/USDT,buy,,,
2025-04-09 06:32:02,DOGE/USDT,buy,,,
2025-04-09 06:32:03,TRX/USDT,sell,,,
2025-04-09 06:33:04,XRP/USDT,buy,,,
2025-04-09 06:33:05,DOGE/USDT,buy,,,
2025-04-09 06:33:07,TRX/USDT,sell,,,
2025-04-09 06:34:08,XRP/USDT,buy,,,
2025-04-09 06:34:09,DOGE/USDT,buy,,,
2025-04-09 06:35:11,XRP/USDT,buy,,,
2025-04-09 06:35:12,DOGE/USDT,buy,,,
2025-04-09 06:36:13,XRP/USDT,buy,,,
2025-04-09 06:36:14,DOGE/USDT,buy,,,
2025-04-09 06:37:16,TRX/USDT,sell,,,
2025-04-09 06:39:18,XRP/USDT,buy,,,
2025-04-09 06:39:19,DOGE/USDT,buy,,,
2025-04-09 06:40:20,XRP/USDT,buy,,,
2025-04-09 06:40:21,TRX/USDT,sell,,,
2025-04-09 06:41:23,TRX/USDT,sell,,,
2025-04-09 06:42:24,DOGE/USDT,sell,,,
2025-04-09 06:42:25,TRX/USDT,sell,,,
2025-04-09 06:43:26,XRP/USDT,sell,,,
2025-04-09 06:43:27,DOGE/USDT,sell,,,
2025-04-09 06:43:28,TRX/USDT,sell,,,
2025-04-09 06:44:29,XRP/USDT,sell,,,
2025-04-09 06:44:30,DOGE/USDT,sell,,,
2025-04-09 06:45:31,XRP/USDT,sell,,,
2025-04-09 06:45:32,DOGE/USDT,sell,,,
2025-04-09 06:45:32,TRX/USDT,sell,,,
2025-04-09 06:52:22,XRP/USDT,sell,,,
2025-04-09 06:52:23,TRX/USDT,sell,,,
2025-04-09 06:53:24,XRP/USDT,sell,,,
2025-04-09 06:53:26,TRX/USDT,sell,,,
2025-04-09 06:54:28,TRX/USDT,sell,,,
2025-04-09 06:55:29,XRP/USDT,sell,,,
2025-04-09 06:55:30,TRX/USDT,sell,,,
2025-04-09 06:56:31,XRP/USDT,sell,,,
2025-04-09 06:56:32,DOGE/USDT,sell,,,
2025-04-09 06:57:33,XRP/USDT,sell,,,
2025-04-09 06:57:34,DOGE/USDT,sell,,,
2025-04-09 06:57:35,TRX/USDT,sell,,,
2025-04-09 06:58:36,XRP/USDT,sell,,,
2025-04-09 07:00:38,XRP/USDT,sell,,,
2025-04-09 07:01:41,XRP/USDT,sell,,,
2025-04-09 07:01:42,DOGE/USDT,sell,,,
2025-04-09 07:03:45,DOGE/USDT,buy,,,
2025-04-09 07:03:46,TRX/USDT,buy,,,
2025-04-09 07:04:47,XRP/USDT,buy,,,
2025-04-09 07:04:48,DOGE/USDT,buy,,,
2025-04-09 07:04:49,TRX/USDT,buy,,,
2025-04-09 07:05:50,XRP/USDT,buy,,,
2025-04-09 07:06:51,XRP/USDT,buy,,,
2025-04-09 07:09:56,TRX/USDT,sell,,,
2025-04-09 07:10:57,XRP/USDT,sell,,,
2025-04-09 07:10:58,DOGE/USDT,sell,,,
2025-04-09 07:10:59,TRX/USDT,sell,,,
2025-04-09 07:13:55,XRP/USDT,sell,,,
2025-04-09 07:13:56,DOGE/USDT,sell,,,
2025-04-09 07:14:57,XRP/USDT,sell,,,
2025-04-09 07:14:58,DOGE/USDT,sell,,,
2025-04-09 07:14:59,TRX/USDT,sell,,,
2025-04-09 07:17:01,XRP/USDT,sell,,,
2025-04-09 07:17:02,DOGE/USDT,sell,,,
2025-04-09 07:17:03,TRX/USDT,sell,,,
2025-04-09 07:18:04,XRP/USDT,sell,,,
2025-04-09 07:18:05,DOGE/USDT,sell,,,
2025-04-09 07:18:06,TRX/USDT,sell,,,
2025-04-09 07:19:08,DOGE/USDT,sell,,,
2025-04-09 07:21:11,TRX/USDT,buy,,,
2025-04-09 07:22:13,TRX/USDT,buy,,,
2025-04-09 07:23:14,XRP/USDT,buy,,,
2025-04-09 07:23:15,DOGE/USDT,buy,,,
2025-04-09 07:23:16,TRX/USDT,buy,,,
2025-04-09 07:24:17,XRP/USDT,buy,,,
2025-04-09 07:24:18,DOGE/USDT,buy,,,
2025-04-09 07:24:19,TRX/USDT,buy,,,
2025-04-09 07:25:20,XRP/USDT,buy,,,
2025-04-09 07:25:21,DOGE/USDT,buy,,,
2025-04-09 07:25:21,TRX/USDT,buy,,,
2025-04-09 07:26:22,XRP/USDT,buy,,,
2025-04-09 07:27:24,XRP/USDT,buy,,,
2025-04-09 07:27:25,DOGE/USDT,buy,,,
2025-04-09 07:29:27,XRP/USDT,buy,,,
2025-04-09 07:31:29,XRP/USDT,buy,,,
2025-04-09 07:31:30,DOGE/USDT,buy,,,
2025-04-09 07:31:31,TRX/USDT,buy,,,
2025-04-09 07:32:33,XRP/USDT,buy,,,
2025-04-09 07:32:35,DOGE/USDT,buy,,,
2025-04-09 07:33:36,XRP/USDT,buy,,,
2025-04-09 07:33:38,DOGE/USDT,buy,,,
2025-04-09 07:33:39,TRX/USDT,buy,,,
2025-04-09 07:34:41,XRP/USDT,buy,,,
2025-04-09 07:34:42,DOGE/USDT,buy,,,
2025-04-09 07:34:43,TRX/USDT,buy,,,
2025-04-09 07:35:44,XRP/USDT,buy,,,
2025-04-09 07:35:45,DOGE/USDT,buy,,,
2025-04-09 07:36:46,XRP/USDT,buy,,,
2025-04-09 07:38:50,XRP/USDT,buy,,,
2025-04-09 07:39:53,TRX/USDT,buy,,,
2025-04-09 08:04:46,XRP/USDT,buy,,,
2025-04-09 08:04:47,DOGE/USDT,buy,,,
2025-04-09 08:04:48,TRX/USDT,buy,,,
